Номер,Дата,Тип операции,Категория,Сумма,Валюта
1,"22 августа 2022, 21:50",Расходы,Супермаркеты,141,RUR
2,"22 августа 2022, 21:38",Расходы,Супермаркеты,148,RUR
3,"21 августа 2022, 19:54",Расходы,Супермаркеты,85,RUB
4,"21 августа 2022, 19:07",Расходы,Онлайн-маркеты,1526,RUB
5,"21 августа 2022, 18:38",Расходы,Онлайн-маркеты,532,RUB
6,"21 августа 2022, 18:14",Расходы,Супермаркеты,171,RUB
7,"21 августа 2022, 18:04",Расходы,Супермаркеты,92,RUB
8,"21 августа 2022, 11:18",Расходы,Онлайн-маркеты,1542,RUB
9,"20 августа 2022, 20:58",Расходы,Супермаркеты,255,RUB
10,"20 августа 2022, 20:15",Расходы,Другим людям,620,RUB
11,"20 августа 2022, 13:26",Расходы,"ЖКХ, связь, интернет ",600,RUB
12,"19 августа 2022, 13:39",Расходы,Супермаркеты,216,RUB
13,"19 августа 2022, 13:06",Расходы,Супермаркеты,122,RUB
14,"19 августа 2022, 13:01",Расходы,Рестораны и кафе,190,RUB
15,"18 августа 2022, 21:37",Расходы,"ЖКХ, связь, интернет ",50,RUB
16,"18 августа 2022, 16:13",Расходы,Супермаркеты,400,RUB
17,"18 августа 2022, 13:50",Расходы,Супермаркеты,485,RUB
18,"18 августа 2022, 13:49",Расходы,Супермаркеты,90,RUB
19,"17 августа 2022, 15:37",Расходы,Супермаркеты,99,RUB
20,"17 августа 2022, 11:47",Расходы,Другим людям,1000,RUB
21,"17 августа 2022, 11:16",Расходы,Другим людям,234,RUB
22,"16 августа 2022, 18:03",Расходы,Рестораны и кафе,490,RUB
23,"16 августа 2022, 16:05",Расходы,Супермаркеты,304,RUB
24,"16 августа 2022, 16:03",Расходы,Супермаркеты,173,RUB
25,"15 августа 2022, 20:39",Расходы,Рестораны и кафе,152,RUB
26,"15 августа 2022, 17:34",Расходы,Супермаркеты,29,RUB
27,"15 августа 2022, 15:40",Расходы,Супермаркеты,39,RUB
28,"14 августа 2022, 19:27",Расходы,Супермаркеты,217,RUB
29,"14 августа 2022, 18:59",Расходы,Супермаркеты,197,RUB
30,"14 августа 2022, 16:35",Расходы,Супермаркеты,122,RUB
31,"13 августа 2022, 17:38",Расходы,Супермаркеты,87,RUB
32,"13 августа 2022, 17:32",Расходы,Образование,49,RUB
33,"12 августа 2022, 20:05",Расходы,Супермаркеты,88,RUB
34,"12 августа 2022, 16:05",Расходы,Супермаркеты,69,RUB
35,"12 августа 2022, 15:59",Расходы,Супермаркеты,60,RUB
36,"12 августа 2022, 15:05",Расходы,Онлайн-маркеты,1199,RUB
37,"12 августа 2022, 10:09",Расходы,Супермаркеты,85,RUB
38,"12 августа 2022, 09:57",Расходы,Супермаркеты,190,RUB
39,"12 августа 2022, 08:06",Расходы,Другим людям,100,RUB
40,"11 августа 2022, 20:15",Расходы,Супермаркеты,110,RUB
41,"11 августа 2022, 20:04",Расходы,Супермаркеты,111,RUB
42,"10 августа 2022, 20:34",Расходы,Супермаркеты,353,RUB
43,"10 августа 2022, 15:33",Расходы,Супермаркеты,60,RUB
44,"09 августа 2022, 20:21",Расходы,Супермаркеты,149,RUB
45,"09 августа 2022, 19:54",Расходы,Супермаркеты,52,RUB
46,"09 августа 2022, 19:42",Расходы,Супермаркеты,242,RUB
47,"08 августа 2022, 22:00",Расходы,Супермаркеты,370,RUB
48,"07 августа 2022, 19:51",Расходы,Супермаркеты,222,RUB
49,"07 августа 2022, 18:46",Расходы,Одежда и аксессуары,455,RUB
50,"07 августа 2022, 16:18",Расходы,Другим людям,3100,RUB
51,"06 августа 2022, 21:19",Расходы,Супермаркеты,140,RUB
52,"04 августа 2022, 21:29",Расходы,Супермаркеты,98,RUB
53,"04 августа 2022, 00:00",Расходы,Супермаркеты,168,RUB
54,"04 августа 2022, 00:00",Расходы,Автомобиль,681,RUB
55,"03 августа 2022, 23:04",Расходы,Другим людям,200,RUB
56,"03 августа 2022, 20:44",Расходы,Супермаркеты,63,RUB
57,"03 августа 2022, 16:25",Расходы,Супермаркеты,44,RUB
58,"03 августа 2022, 16:00",Расходы,Образование,444,RUB
59,"02 августа 2022, 19:10",Расходы,Супермаркеты,358,RUB
60,"02 августа 2022, 18:54",Расходы,Супермаркеты,388,RUB
61,"01 августа 2022, 20:09",Расходы,Другим людям,1000,RUB
62,"01 августа 2022, 16:08",Расходы,Супермаркеты,90,RUB
