Номер,Дата,Тип операции,Категория,Сумма,Валюта
1,"31 июля 2022, 20:47",Расходы,Супермаркеты,54,RUB
2,"31 июля 2022, 19:23",Расходы,Супермаркеты,112,RUB
3,"31 июля 2022, 15:09",Расходы,Супермаркеты,209,RUB
4,"30 июля 2022, 21:06",Расходы,Супермаркеты,116,RUB
5,"30 июля 2022, 19:02",Расходы,Супермаркеты,60,RUB
6,"30 июля 2022, 16:04",Расходы,Супермаркеты,86,RUB
7,"30 июля 2022, 15:12",Расходы,Супермаркеты,720,RUB
8,"29 июля 2022, 21:37",Расходы,Супермаркеты,58,RUB
9,"29 июля 2022, 21:14",Расходы,Супермаркеты,138,RUB
10,"29 июля 2022, 20:58",Расходы,Супермаркеты,120,RUB
11,"29 июля 2022, 16:39",Расходы,Онлайн-маркеты,636,RUB
12,"28 июля 2022, 21:05",Расходы,Супермаркеты,93,RUB
13,"28 июля 2022, 19:34",Расходы,Одежда и аксессуары,384,RUB
14,"28 июля 2022, 18:41",Расходы,Супермаркеты,160,RUB
15,"27 июля 2022, 21:32",Расходы,Супермаркеты,32,RUB
16,"26 июля 2022, 20:34",Расходы,Супермаркеты,237,RUB
17,"26 июля 2022, 17:03",Расходы,Супермаркеты,329,RUB
18,"25 июля 2022, 21:37",Расходы,Супермаркеты,280,RUB
19,"25 июля 2022, 15:04",Расходы,Супермаркеты,276,RUB
20,"25 июля 2022, 14:53",Расходы,Супермаркеты,155,RUB
21,"25 июля 2022, 13:04",Расходы,Супермаркеты,92,RUB
22,"24 июля 2022, 21:13",Расходы,Супермаркеты,280,RUB
23,"24 июля 2022, 15:40",Расходы,Другим людям,300,RUB
24,"23 июля 2022, 15:20",Расходы,Супермаркеты,119,RUB
25,"23 июля 2022, 14:14",Расходы,Рестораны и кафе,109,RUB
26,"23 июля 2022, 14:10",Расходы,Супермаркеты,160,RUB
27,"20 июля 2022, 20:19",Расходы,Другим людям,200,RUB
28,"20 июля 2022, 17:21",Расходы,Другим людям,100,RUB
29,"20 июля 2022, 10:40",Расходы,Здоровье и красота,72,RUB
30,"20 июля 2022, 00:00",Расходы,Онлайн-маркеты,200,RUB
31,"20 июля 2022, 00:00",Расходы,Онлайн-маркеты,620,RUB
32,"19 июля 2022, 18:38",Расходы,Здоровье и красота,213,RUB
33,"18 июля 2022, 18:31",Расходы,Здоровье и красота,252,RUB
34,"18 июля 2022, 11:13",Расходы,Здоровье и красота,227,RUB
35,"17 июля 2022, 23:22",Расходы,Супермаркеты,270,RUB
36,"16 июля 2022, 20:17",Расходы,Супермаркеты,124,RUB
37,"16 июля 2022, 00:48",Расходы,Супермаркеты,240,RUB
38,"15 июля 2022, 21:11",Расходы,Другим людям,140,RUB
39,"14 июля 2022, 15:39",Расходы,Супермаркеты,125,RUB
40,"14 июля 2022, 15:37",Расходы,Супермаркеты,139,RUB
41,"14 июля 2022, 15:36",Расходы,Супермаркеты,381,RUB
42,"14 июля 2022, 14:41",Расходы,Супермаркеты,184,RUB
43,"13 июля 2022, 21:05",Расходы,Супермаркеты,207,RUB
44,"13 июля 2022, 20:31",Расходы,Супермаркеты,407,RUB
45,"12 июля 2022, 22:32",Расходы,Супермаркеты,215,RUB
46,"12 июля 2022, 15:47",Расходы,Супермаркеты,338,RUB
47,"11 июля 2022, 21:38",Расходы,Супермаркеты,138,RUB
48,"11 июля 2022, 20:56",Расходы,Другим людям,1000,RUB
49,"11 июля 2022, 20:50",Расходы,Другим людям,10,RUB
50,"10 июля 2022, 18:33",Расходы,Супермаркеты,316,RUB
51,"10 июля 2022, 14:21",Расходы,Онлайн-маркеты,237,RUB
52,"09 июля 2022, 22:22",Расходы,Супермаркеты,175,RUB
53,"09 июля 2022, 20:56",Расходы,Супермаркеты,399,RUB
54,"09 июля 2022, 14:05",Расходы,Супермаркеты,177,RUB
55,"09 июля 2022, 13:56",Расходы,Одежда и аксессуары,560,RUB
56,"08 июля 2022, 23:58",Расходы,Комиссия,150,RUB
57,"08 июля 2022, 21:34",Расходы,Супермаркеты,148,RUB
58,"08 июля 2022, 14:43",Расходы,Другим людям,100,RUB
59,"07 июля 2022, 22:19",Расходы,Супермаркеты,393,RUB
60,"07 июля 2022, 21:47",Расходы,Супермаркеты,790,RUB
61,"07 июля 2022, 09:41",Расходы,Снятие наличных,2600,RUB
62,"05 июля 2022, 16:48",Расходы,Супермаркеты,150,RUB
63,"05 июля 2022, 16:37",Расходы,Супермаркеты,260,RUB
64,"05 июля 2022, 16:17",Расходы,Здоровье и красота,72,RUB
65,"04 июля 2022, 19:10",Расходы,Рестораны и кафе,1570,RUB
66,"03 июля 2022, 21:12",Расходы,Супермаркеты,188,RUB
